Year,Total,Out of Pocket,Health Insurance,Private Health Insurance,Medicare,Medicaid,Other Health Insurance Programs,Other Third Party Payers
1970,11.7,2.8,15.6,10.7,,,6.7,7.6
1980,14,8.2,15.2,15.3,17.2,13.3,11.6,11.2
1990,9.6,7.6,10,10.1,9.9,11.2,7.6,8.1
2000,5.2,1.9,5.7,3.9,6.3,10.3,3.4,3.1
2001,8.1,2.5,9.1,8.7,9.5,9.1,9.1,2.6
2002,8.3,11.1,8.6,10.3,6.3,9.2,9.3,4.6
2003,8.1,11.2,7.6,9,5.1,6.9,14.8,11.1
2004,7.5,7.7,7.9,8.4,7.8,7.2,7.4,4
2005,7.7,7.6,7.9,8.2,8.4,7.2,5.7,5.3
2006,7,7,6.7,9.2,4.7,4.9,6.4,9.9
2007,6.2,4.8,6,6.7,4.6,7.7,3.3,9.1
2008,4.3,5.1,5.5,4.2,6.5,4.8,10.9,-5.8
2009,6.8,8.5,6.5,6.4,4.3,9,11.2,9.1
2010,4.9,7.9,4.1,3.8,2.8,6.1,6.7,10.6
2011,3,5.1,3.2,3.9,3.2,1.5,3.9,1.1
2012,5.4,9.1,4.8,5.8,4.5,4.4,1.9,9
2013,3.3,7.1,2.7,1,3.5,4.3,4.6,7
2014,3.7,-2.2,4.5,2.8,2.9,9.3,6.8,-0.2
2015,5.2,-5.6,6.4,7.9,3.3,8.4,5.3,-1.3
2016,4.7,2.9,4.7,6.2,4.7,2.1,3.8,5.4
2017,4.1,3.7,3.9,4.5,4.6,1.1,5.2,6
2018,4.2,4.4,4.2,4.3,5.6,2.9,1.4,3.8
2019,6.3,6.1,5.8,6.1,6.2,4.8,4.9,11
2020,6.2,-11.6,-0.2,-5.8,1,6.9,7.8,64.5
2021,5.2,5.9,10.7,13.2,8.5,10.6,7,-22.3
2022,3.2,3,5.4,8,1.5,7.3,2,-12.6
2023,10.4,9.7,9.9,13,6,7.6,16,14.4
